,Feature name,Feature importance
6,Sugars,0.11873062863071283
11,Polyunsaturated fatty acids,0.10303740285374303
4,Protein,0.09129933674378324
5,Carbohydrate,0.08928235714936239
12,Cholesterol,0.08746890608081481
